,name,area,aspect,centre,circularness,fill,number of children,rgb_area,rgb_aspect,rgb_centre,rgb_circularness,rgb_fill,rgb_average,median_height,mean_height
0,box,3023.5,0.9861425172,"(47.0, 112.5)",0.7033836904,0.9822936972,2,3736.5,0.9073001151,"(47.5, 111.0)",0.7608245228,0.9146878825,"[168.27654578659013, 94.198278111140098, 108.08583355074354]",0.3462837338,0.280603379
1,measure,750,0.9365762252,"(86.2272720336914, 28.4818172454834)",0.7463863507,0.8196721311,1,1692,0.4007808038,"(67.0, 24.5)",0.2719747136,0.5659809333,"[172.10573177518086, 157.33555926544241, 152.49972175848637]",0.0914464295,0.1005452722
2,cd,,0.9814814815,,0.9151592973,0.8081761006,0,2313,0.9814814815,"(134.5, 85.5)",0.9151592973,0.8081761006,"[184.17369519832985, 193.60292275574113, 197.47849686847599]",0,0
0,box,2882.5,0.9841116746,"(57.31679916381836, 95.8913803100586)",0.6701594032,0.9519484808,1,3669,0.8660546629,"(60.808067321777344, 94.88630676269531)",0.6745161639,0.862279671,"[171.32760444209413, 97.282654680063459, 110.03728186144897]",0.3974040747,0.3313281834
1,cd,,0.9814814815,,0.9155284917,0.8120195667,0,2324,0.9814814815,"(114.0, 37.0)",0.9155284917,0.8120195667,"[186.31975051975053, 192.11060291060292, 194.37754677754677]",0,0
2,measure,677,0.9275994359,"(110.83898162841797, 148.82203674316406)",0.7235680791,0.7658371041,1,1487.5,0.4397026041,"(92.0, 145.5)",0.2831416613,0.5122245179,"[160.76100628930817, 140.7559748427673, 138.80251572327043]",0.0825408623,0.089571096
0,box,2819.5,0.9823705529,"(59.0, 158.5)",0.6432323302,0.9931313843,2,3769.5,0.8649121472,"(63.73866271972656, 157.6774139404297)",0.6533774358,0.8840290807,"[168.66462167689161, 92.884202453987726, 108.6428936605317]",0.3614922762,0.3091389537
1,cd,,0.962962963,,0.9262349777,0.8201566952,0,2303,0.962962963,"(61.549468994140625, 43.821556091308594)",0.9262349777,0.8201566952,"[189.74685138539041, 198.19983207388748, 198.90428211586902]",0,0
2,measure,630,0.8387096774,"(123.90625, 96.0)",0.728359386,0.7816377171,1,1597.5,0.4698975568,"(134.0470733642578, 117.6255111694336)",0.2741640438,0.4932077802,"[164.43552168815944, 145.99648300117232, 144.78370457209849]",0.0975923091,0.0978769511
0,box,2956.5,0.9886478055,"(107.24678039550781, 156.34548950195312)",0.6949868722,0.9641284852,2,3551,0.9647377645,"(107.39639282226562, 153.56982421875)",0.7380015797,0.9632442696,"[174.43315948394181, 91.337359319242381, 105.01345045292341]",0.4109262526,0.3354117572
